"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link"
"Kapoor A.; Li M.; Taylor R.H.","Kapoor, Ankur (56234750900); Li, Ming (58363429600); Taylor, Russell H. (7405756438)","56234750900; 58363429600; 7405756438","Constrained control for surgical assistant robots","2006","Proceedings - IEEE International Conference on Robotics and Automation","2006","","1641189","231","236","5","10.1109/ROBOT.2006.1641189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845650514&doi=10.1109%2fROBOT.2006.1641189&partnerID=40&md5=a6c745302d81a339eb16dacf8c877a0f"
"Singer S.M.; Akin D.L.","Singer, Sharon M. (36904535200); Akin, David L. (7006727725)","36904535200; 7006727725","Task scheduling for cooperative human/robotic space operations","2008","SAE Technical Papers","","","","","","","10.4271/2008-01-1985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072455324&doi=10.4271%2f2008-01-1985&partnerID=40&md5=02c910d423e6862fad6e750908239514"
"Bentivegna D.C.; Atkeson C.G.","Bentivegna, Darrin C. (6603314042); Atkeson, Christopher G. (35560635200)","6603314042; 35560635200","A framework for learning from observation using primitives","2003","Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science)","2752","","","263","270","7","10.1007/978-3-540-45135-8_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-23144433002&doi=10.1007%2f978-3-540-45135-8_20&partnerID=40&md5=ad259da5177cf3e5ee47328cee2be515"
"Sharbafi M.A.; Radkhah K.; Von Stryk O.; Seyfarth A.","Sharbafi, Maziar A. (24725620800); Radkhah, Katayon (24776496600); Von Stryk, Oskar (6602883584); Seyfarth, Andre (6603827777)","24725620800; 24776496600; 6602883584; 6603827777","Hopping control for the musculoskeletal bipedal robot: BioBiped","2014","IEEE International Conference on Intelligent Robots and Systems","","","6943254","4868","4875","7","10.1109/IROS.2014.6943254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911479160&doi=10.1109%2fIROS.2014.6943254&partnerID=40&md5=493c66dca1a5deedfb373712cad6e130"
"Shademan A.; Farahmand A.-M.; Jägersand M.","Shademan, Azad (6508342233); Farahmand, Amir-Massoud (17434052200); Jägersand, Martin (6602596558)","6508342233; 17434052200; 6602596558","Towards learning robotic reaching and pointing: An uncalibrated visual servoing approach","2009","Proceedings of the 2009 Canadian Conference on Computer and Robot Vision, CRV 2009","","","5230515","229","236","7","10.1109/CRV.2009.47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350552183&doi=10.1109%2fCRV.2009.47&partnerID=40&md5=0f9a6a115861d3635231b48a1cbfd1de"
"Li M.; Kapoor A.; Taylor R.H.","Li, Ming (58363429600); Kapoor, Ankur (56234750900); Taylor, Russell H. (7405756438)","58363429600; 56234750900; 7405756438","Telerobotic control by virtual fixtures for surgical applications","2007","Springer Tracts in Advanced Robotics","31","","","381","401","20","10.1007/978-3-540-71364-7_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547977621&doi=10.1007%2f978-3-540-71364-7_23&partnerID=40&md5=6a90ee7e9cddde3fcb11eb00d493ef1a"
"McCarragher B.J.","McCarragher, Brenan J. (7003699938)","7003699938","Task primitives for the discrete event modeling and control of 6-DOF assembly tasks","1996","IEEE Transactions on Robotics and Automation","12","2","","280","289","9","10.1109/70.488947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030129031&doi=10.1109%2f70.488947&partnerID=40&md5=94efc276594c5c0fb65b4861d4e16bae"
"Sawasaki N.; Inoue H.","Sawasaki, Naoyuki (6603317038); Inoue, Hirochika (57101327500)","6603317038; 57101327500","Cooperative Manipulation by Autonomous Intelligent Robots","1993","Transactions of the Japan Society of Mechanical Engineers Series C","59","564","","2318","2325","7","10.1299/kikaic.59.2318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027644756&doi=10.1299%2fkikaic.59.2318&partnerID=40&md5=c98243da108eb11caa70be41a1e030e7"
"Iturrate I.; Roberge E.; Ostergaard E.H.; Duchaine V.; Savarimuthu T.R.","Iturrate, Inigo (56028035000); Roberge, Etienne (57200626657); Ostergaard, Esben Hallundbak (57519706300); Duchaine, Vincent (19639795100); Savarimuthu, Thiusius Rajeeth (35788432200)","56028035000; 57200626657; 57519706300; 19639795100; 35788432200","Improving the Generalizability of Robot Assembly Tasks Learned from Demonstration via CNN-based Segmentation","2019","IEEE International Conference on Automation Science and Engineering","2019-August","","8843029","553","560","7","10.1109/COASE.2019.8843029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072989318&doi=10.1109%2fCOASE.2019.8843029&partnerID=40&md5=32c3d5eb3a2471aeace00acf7c4c1d7c"
"Zlot R.; Stentz A.","Zlot, Robert (6507193971); Stentz, Anthony (7006771602)","6507193971; 7006771602","Complex task allocation and execution for teams of multiple autonomous vehicles","2006","AUVSI Unmanned Systems North America Conference 2006","2","","","1250","1264","14","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897488309&partnerID=40&md5=47412d563e9916636d4d0a04b6d39b6e"
"Venkataraman S.T.","Venkataraman, S.T. (24177532000)","24177532000","TASK REPRESENTATION IN ROBOT CONTROL - I: THEORY.","1987","","","","","471","475","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023590768&partnerID=40&md5=35e732aa0d8b1ba7054d686bb63ab2ab"
"Nakaoka S.; Nakazawa A.; Kanehiro F.; Kaneko K.; Morisawa M.; Ikeuchi K.","Nakaoka, Shinichiro (23009260100); Nakazawa, Atsushi (35807510800); Kanehiro, Fumio (7003861328); Kaneko, Kenji (55438714900); Morisawa, Mitsuharu (15725870000); Ikeuchi, Katsushi (35208602900)","23009260100; 35807510800; 7003861328; 55438714900; 15725870000; 35208602900","Task model of lower body motion for a biped humanoid robot to imitate human dances","2005","2005 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS","","","1545395","3157","3162","5","10.1109/IROS.2005.1545395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957991129&doi=10.1109%2fIROS.2005.1545395&partnerID=40&md5=24cd9803f297e65e9ca02d9ac9c121a0"
"Khatib O.","Khatib, Oussama (7006484906)","7006484906","The Age of Human-Robot Collaboration","2019","CISM International Centre for Mechanical Sciences, Courses and Lectures","584","","","9","","","10.1007/978-3-319-78963-7_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051561504&doi=10.1007%2f978-3-319-78963-7_2&partnerID=40&md5=a440eea4211a3590e3256607a0fa88d7"
"Hespanha J.P.; Dodds Z.; Hager G.D.; Morse A.S.","Hespanha, J.P. (7003325009); Dodds, Z. (6602320783); Hager, G.D. (7102912496); Morse, A.S. (7102718521)","7003325009; 6602320783; 7102912496; 7102718521","Decidability of robot positioning tasks using stereo vision systems","1998","Proceedings of the IEEE Conference on Decision and Control","4","","","3736","3741","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032266304&partnerID=40&md5=3828103089d65b9b0bd940ff50931f05"
"Terasaki H.; Hasegawa T.","Terasaki, Hajime (7103159548); Hasegawa, Tsutomu (7404174677)","7103159548; 7404174677","Motion planning of intelligent manipulation by a parallel two-fingered gripper equipped with a simple rotating mechanism","1998","IEEE Transactions on Robotics and Automation","14","2","","207","219","12","10.1109/70.681241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032049075&doi=10.1109%2f70.681241&partnerID=40&md5=43570ccd4940fc5b313f3d6e780b1f29"
"Rees Jonathan; Donald Bruce","Rees, Jonathan (59119220100); Donald, Bruce (7005215486)","59119220100; 7005215486","Program mobile robots in Scheme","1992","Proceedings - IEEE International Conference on Robotics and Automation","3","","","2681","2688","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026978023&partnerID=40&md5=e3783b9611d25be28b0eee9115074146"
"Akin D.L.; Jacobs S.; Gruntz D.","Akin, David L. (7006727725); Jacobs, Shane (25627690600); Gruntz, David (55689260100)","7006727725; 25627690600; 55689260100","Investigations into several approaches to EVA-robot integration","2007","SAE Technical Papers","","","","","","","10.4271/2007-01-3232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072416126&doi=10.4271%2f2007-01-3232&partnerID=40&md5=9bc1ff10bad87da58384448b13316966"
"Sawasaki N.; Inoue H.","Sawasaki, Naoyuki (6603317038); Inoue, Hirochika (57101327500)","6603317038; 57101327500","Cooperative manipulation by autonomous intelligent robots","1996","JSME International Journal, Series C: Dynamics, Control, Robotics, Design and Manufacturing","39","2","","286","293","7","10.1299/jsmec1993.39.286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030165869&doi=10.1299%2fjsmec1993.39.286&partnerID=40&md5=dbb1092ce8fc3a443d337ef58cc28547"
"Gouraguine S.; Salhi I.; Riad M.; Qbadou M.; Mansouri K.","Gouraguine, Soukaina (57571386000); Salhi, Intissar (57202579475); Riad, Mustapha (57981534800); Qbadou, Mohammed (56705618500); Mansouri, Khalifa (37104698500)","57571386000; 57202579475; 57981534800; 56705618500; 37104698500","Towards a Humanoid Teaching Assistant-Robot-Primitives Knowledge Modeling","2023","Lecture Notes on Data Engineering and Communications Technologies","152","","","802","811","9","10.1007/978-3-031-20601-6_66","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142650391&doi=10.1007%2f978-3-031-20601-6_66&partnerID=40&md5=53e18e023273d92c911e40eab54dd478"
"Smith Jeffrey H.; Estus Jay; Heneghan Cate; Nainan Charles","Smith, Jeffrey H. (57207399293); Estus, Jay (6504587912); Heneghan, Cate (57225312024); Nainan, Charles (6505467272)","57207399293; 6504587912; 57225312024; 6505467272","Space Station Freedom evolution-phase: crew-EVA demand for robotic substitution by task primitive","1989","Proceedings - IEEE International Conference on Robotics and Automation","","","","1472","1477","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024861896&partnerID=40&md5=26ca807d55c442fc48316bed90c4e520"
"Johnson D.O.; Agah A.","Johnson, David O. (56834800400); Agah, Arvin (7006138527)","56834800400; 7006138527","Learning Macro Actions from Instructional Videos Through Integration of Multiple Modalities","2013","International Journal of Social Robotics","5","1","","53","73","20","10.1007/s12369-012-0167-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872563213&doi=10.1007%2fs12369-012-0167-6&partnerID=40&md5=8dbb3ef59084fdf93b9f415cbb568f81"
"Hong S.; Lee Y.; Park K.H.; Lee W.S.; Choi B.; Sim O.; Kim I.; Oh J.-H.; Kang Y.S.","Hong, Seongil (55488167400); Lee, Youngwoo (57212624595); Park, Kyu Hyun (56957401200); Lee, Won Suk (57189395312); Choi, Byunghun (36245970600); Sim, Okkee (56958458700); Kim, Inhyeok (16642688100); Oh, Jun-Ho (7402155481); Kang, Youn Sik (24076263000)","55488167400; 57212624595; 56957401200; 57189395312; 36245970600; 56958458700; 16642688100; 7402155481; 24076263000","Dynamics based motion optimization and operational space control with an experimental rescue robot, HUBO T-100","2015","IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM","2015-August","","7222631","773","778","5","10.1109/AIM.2015.7222631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951169574&doi=10.1109%2fAIM.2015.7222631&partnerID=40&md5=fa05ffcf76e8bf2c4d0dc61dd9775522"
"Erkmen A.M.; Stephanou H.E.","Erkmen, A.M. (7004631820); Stephanou, H.E. (7003416639)","7004631820; 7003416639","SENSOR-BASED GRASP CONTROL: AN EVIDENTIAL REASONING APPROACH.","1987","","","","","238","241","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023599524&partnerID=40&md5=3cb69e16800d906693ef661f9bd81f85"
"Tiberkak A.; Hentout A.; Belkhir A.","Tiberkak, Allal (36083595900); Hentout, Abdelfetah (24721256800); Belkhir, Abdelkader (25929012700)","36083595900; 24721256800; 25929012700","WebRTC-based MOSR remote control of mobile manipulators","2023","International Journal of Intelligent Robotics and Applications","7","2","","304","320","16","10.1007/s41315-023-00281-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158155671&doi=10.1007%2fs41315-023-00281-3&partnerID=40&md5=ffa4dfab4db34a430af3ae38b5b61c2a"
"Pan T.J.; Luo R.C.","Pan, Tai-Jee (7202203122); Luo, Ren C. (55842876400)","7202203122; 55842876400","An AI-based robot program generation system for assembly automation","1990","Proceedings of SPIE - The International Society for Optical Engineering","1193","","","187","197","10","10.1117/12.969818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957488163&doi=10.1117%2f12.969818&partnerID=40&md5=40d465541759be8f0358c0e834846321"
"Tunah T.; Giiler G.S.","Tunah, T. (57209501286); Giiler, G.S. (57209509629)","57209501286; 57209509629","A hierarchical planner for robot tasks and motion control","1990","Proceedings of the IEEE International Workshop on Intelligent Motion Control, IMC 1990","1","","687314","181","185","4","10.1109/IMC.1990.687314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067954392&doi=10.1109%2fIMC.1990.687314&partnerID=40&md5=7c096a2a094212ac9c64c075060420ae"
"Pek C.; Muxfeldt A.; Kubus D.","Pek, Christian (57191522221); Muxfeldt, Arne (56502270100); Kubus, Daniel (16550432300)","57191522221; 56502270100; 16550432300","Simplifying synchronization in cooperative robot tasks - An enhancement of the Manipulation Primitive paradigm","2016","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2016-November","","7733552","","","","10.1109/ETFA.2016.7733552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996559099&doi=10.1109%2fETFA.2016.7733552&partnerID=40&md5=246e957030de6062f673d1e7cb468c46"
"Sentis L.; Khatib O.","Sentis, Luis (6507774039); Khatib, Oussama (7006484906)","6507774039; 7006484906","A whole-body control framework for humanoids operating in human environments","2006","Proceedings - IEEE International Conference on Robotics and Automation","2006","","1642100","2641","2648","7","10.1109/ROBOT.2006.1642100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845632078&doi=10.1109%2fROBOT.2006.1642100&partnerID=40&md5=5bac5b9090bac4cb4c214750554af260"
"Kountouris V.G.; Stephanou H.E.","Kountouris, V.G. (6602463992); Stephanou, H.E. (7003416639)","6602463992; 7003416639","Dynamic modularization and synchronization for intelligent robot coordination: The concept of functional time-dependency","1991","Proceedings - IEEE International Conference on Robotics and Automation","1","","","508","513","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025725124&partnerID=40&md5=ef0ad1e36425a2fa0d01663d7a356ea7"
"Kubat M.; Mianowski K.; Kmiecik P.; Granosik G.","Kubat, Mateusz (57191589945); Mianowski, Krzysztof (6507935255); Kmiecik, Piotr (57274843600); Granosik, Grzegorz (8223952900)","57191589945; 6507935255; 57274843600; 8223952900","Low-cost impedance controlled multifinger gripper","2016","2016 21st International Conference on Methods and Models in Automation and Robotics, MMAR 2016","","","7575161","357","362","5","10.1109/MMAR.2016.7575161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991744816&doi=10.1109%2fMMAR.2016.7575161&partnerID=40&md5=4a20eba17fb1db9df8087267201552c9"
