title,authors,year,journal,doi,abstract,keywords,,,,,,,,,,,,,
Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment,"Andersen, R.E.; Hansen, E.B.; Cerny, D.; Madsen, S.; Pulendralingam, B.; Bøgh, S.; Chrysostomou, D.",2017,,10.1016/j.promfg.2017.07.209,,,,,,,,,,,,,,,
Learning Hierarchical Interactive Multi-Object Search for Mobile Manipulation,"Schmalstieg, F.; Honerkamp, D.; Welschehold, T.; Valada, A.",2023,,10.1109/lra.2023.3329619,,,,,,,,,,,,,,,
A Skill-based Robot Co-worker for Industrial Maintenance Tasks,"Koch, P.J.; van Amstel, M.K.; Dębska, P.; Thormann, M.A.; Tetzlaff, A.J.; Bøgh, S.; Chrysostomou, D.",2017,,10.1016/j.promfg.2017.07.141,,,,,,,,,,,,,,,
Automatic extension of a symbolic mobile manipulation skill set,"Förster, J.; Ott, L.; Nieto, J.; Lawrance, N.; Siegwart, R.; Chung, J.J.",2023,,10.1016/j.robot.2023.104428,,,,,,,,,,,,,,,
Autonomous planning for mobile manipulation services based on multi-level robot skills,"Weser, M.; Zhang, J.",2009,,10.1109/iros.2009.5353901,,,,,,,,,,,,,,,
A skill-based system for object perception and manipulation for automating kitting tasks,"Holz, D.; Topalidou-Kyniazopoulou, A.; Rovida, F.; Pedersen, M.R.; Krüger, V.; Behnke, S.",2015,,10.1109/etfa.2015.7301453,,,,,,,,,,,,,,,
Increasing flexibility of mobile manipulation and intuitive human-robot interaction in RoboCup@Home,"Stückler, J.; Droeschel, D.; Gräve, K.; Holz, D.; Schreiber, M.; Topalidou-Kyniazopoulou, A.; Schwarz, M.; Behnke, S.",2014,,10.1007/978-3-662-44468-9_13,,,,,,,,,,,,,,,
"Skill-based anytime agent architecture for European Robotics Challenges in realistic environments: EuRoC Challenge 2, Stage II — realistic labs","Lim, G.H.; Pedrosa, E.; Amaral, F.; Pereira, A.; Lau, N.; Azevedo, J.L.; Cunha, B.; Badini, S.",2019,,10.1016/j.robot.2019.06.006,,,,,,,,,,,,,,,
Towards Large-Space Manipulation Skills Learning with Mobile Manipulator,"Wu, Y.; Liao, Z.; Gong, C.; Zhao, F.",2023,,10.1007/978-981-19-9398-5_129,,,,,,,,,,,,,,,
Skill Transformer: A Monolithic Policy for Mobile Manipulation,"Huang, X.; Batra, D.; Rai, A.; Szot, A.",2023,,10.1109/iccv51070.2023.00996,,,,,,,,,,,,,,,
DockAnywhere: Data-Efficient Visuomotor Policy Learning for Mobile Manipulation via Novel Demonstration Generation,"Shan, Z.; Zhou, Y.; Wu, G.; Ji, Z.; Wu, Z.; Wang, Z.",2026,,10.1109/lra.2026.3688095,,,,,,,,,,,,,,,
MAkEable: Memory-centered and Affordance-based Task Execution Framework for Transferable Mobile Manipulation Skills,"Pohl, C.; Reister, F.; Peller-Konrad, F.; Asfour, T.",2024,,10.1109/iros58592.2024.10801986,,,,,,,,,,,,,,,
Robotic Assistance in Medication Intake: A Complete Pipeline,"Kostavelis, I.; Kargakos, A.; Skartados, E.; Peleka, G.; Giakoumis, D.; Sarantopoulos, I.; Agriomallos, I.; Doulgeri, Z.; Endo, S.; Stüber, H.; Janjoš, F.; Hirche, S.; Tzovaras, D.",2022,,10.3390/app12031379,,,,,,,,,,,,,,,
Layered task planning for mobile manipulators,"Djezairi, S.; Razika, B.Z.; Akli, I.; Bouzouia, B.",2019,,10.1016/j.compeleceng.2019.106464,,,,,,,,,,,,,,,
SkillMaN — A skill-based robotic manipulation framework based on perception and reasoning,"Diab, M.; Pomarlan, M.; Beßler, D.; Akbari, A.; Rosell, J.; Bateman, J.; Beetz, M.",2020,,10.1016/j.robot.2020.103653,,,,,,,,,,,,,,,
Manipulation skill acquisition for robotic assembly using deep reinforcement learning,"Li, F.; Jiang, Q.; Quan, W.; Song, R.; Li, Y.",2019,,10.1109/aim.2019.8868579,,,,,,,,,,,,,,,
ARMAR-6: A High-Performance Humanoid for Human-Robot Collaboration in Real-World Scenarios,"Asfour, T.; Paus, F.; Waechter, M.; Kaul, L.; Rader, S.; Weiner, P.; Ottenhaus, S.; Grimm, R.; Zhou, Y.; Grotz, M.",2019,,10.1109/mra.2019.2941246,,,,,,,,,,,,,,,
A modular biped wall-climbing robot with high mobility and manipulating function,"Guan, Y.; Zhu, H.; Wu, W.; Zhou, X.; Jiang, L.; Cai, C.; Zhang, L.; Zhang, H.",2013,,10.1109/tmech.2012.2213303,,,,,,,,,,,,,,,
Robot skills for manufacturing: From concept to industrial deployment,"Pedersen, M.R.; Nalpantidis, L.; Andersen, R.S.; Schou, C.; Bøgh, S.; Krüger, V.; Madsen, O.",2016,,10.1016/j.rcim.2015.04.002,,,,,,,,,,,,,,,
Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation,"Wang, F.; Lyu, S.; Zhou, P.; Duan, A.; Guo, G.; Navarro-Alarcon, D.",2025,,10.1609/aaai.v39i14.33610,,,,,,,,,,,,,,,
Intuitive task programming of stud welding robots for ship construction,"Andersen, R.S.; Bøgh, S.; Moeslund, T.B.; Madsen, O.",2015,,10.1109/icit.2015.7125587,,,,,,,,,,,,,,,
Evaluating Sensorimotor Abstraction on Curricula for Learning Mobile Manipulation Skills,"Youngquist, O; Spirot, A; Doctort, K; Grupen, R",2022,,10.1109/icdl53763.2022.9962221,,,,,,,,,,,,,,,
Whole-Body Control on Non-holonomic Mobile Manipulation for Grapevine Winter Pruning Automation,"Teng, T; Fernandes, M; Gatti, M; Poni, S; Semini, C; Caldwell, D; Chen, F",2021,,10.1109/icarm52023.2021.9536083,,,,,,,,,,,,,,,
Variable Impedance Skill Learning for Contact-Rich Manipulation,"Yang, QT; Dürr, A; Topp, EA; Stork, JA; Stoyanov, T",2022,,10.1109/lra.2022.3187276,,,,,,,,,,,,,,,
Maximizing the Use of Environmental Constraints: A Pushing-Based Hybrid Position/Force Assembly Skill for Contact-Rich Tasks,Y. Shi, Z. Chen, L. Cong, Y. Wu, M. Craiu-Müller, C. Yuan, C. Chang, L. Zhang, J. Zhang,2021,,10.1109/robio54168.2021.9739349,,,,,,,
Core Processes in Intelligent Robotic Lab Assistants: Flexible Liquid Handling,D. Knobbe, H. Zwirnmann, M. Eckhoff, S. Haddadin,2022,,10.1109/iros47612.2022.9981636,,,,,,,,,,,,
Pedipulate: Enabling Manipulation Skills using a Quadruped Robot’s Leg,P. Arm, M. Mittal, H. Kolvenbach, M. Hutter,2024,,10.1109/icra57147.2024.10611307,,,,,,,,,,,,
Adaptive tool-use strategies for anthropomorphic service robots,J. Stückler, S. Behnke,2014,,10.1109/humanoids.2014.7041448,,,,,,,,,,,,,,
Dual-LLM Hierarchical Task Planning and Skill Grounding for Mobile Manipulation in Long-Horizon Restroom Cleaning,Y. Li, Q. Lyu, Y. Salam, J. Yang, R. Ighil Nessouk,2025,,10.1109/access.2025.3627503,,,,,,,,,,,
Embodiment independent manipulation through action abstraction,J. Laaksonen, J. Felip, A. Morales, V. Kyrki,2010,,10.1109/robot.2010.5509153,,,,,,,,,,,,
BAM! Base Abstracted Modeling with Universal Notice Network: Fast Skill Transfer Between Mobile Manipulators,M. Mounsif, S. Lengagne, B. Thuilot, L. Adouane,2020,,10.1109/codit49905.2020.9263931,,,,,,,,,,,,
Integrating Bilevel Planning and Offline Skill Learning for Enhancing Mobile Manipulation,S. Watanabe, G. Horn, J. Tørresen, K. O. Ellefsen,2025,,10.1109/case58245.2025.11163881,,,,,,,,,,,,
ASC: Adaptive Skill Coordination for Robotic Mobile Manipulation,N. Yokoyama, A. Clegg, J. Truong, E. Undersander, T. -Y. Yang, S. Arnaud, S. Ha, D. Batra, A. Rai,2024,,10.1109/lra.2023.3336109,,,,,,,
"Skill-based anytime agent architecture for logistics and manipulation tasks: EuRoC Challenge 2, Stage II - Realistic Labs: Benchmarking",F. Amaral, E. Pedrosa, G. H. Lim, N. Shafii, A. Pereira, J. L. Azevedo, B. Cunha, L. P. Reis, S. Badini, N. Lau,2017,,10.1109/icarsc.2017.7964075,,,,,,
Skill learning and task outcome prediction for manipulation,P. Pastor, M. Kalakrishnan, S. Chitta, E. Theodorou, S. Schaal,2011,,10.1109/icra.2011.5980200,,,,,,,,,,,
Aerial Manipulator Systems Gain a New Skill: Achieve Contact-based Landing on a Mobile Platform,X. Meng, Y. He, H. Xi, J. Han, A. Song,2023,,10.1109/iros55552.2023.10342395,,,,,,,,,,,
Home-Assistant Robot for an Aging Society,K. Yamazaki, R. Ueda, S. Nozawa, M. Kojima, K. Okada, K. Matsumoto, M. Ishikawa, I. Shimoyama, M. Inaba,2012,,10.1109/jproc.2012.2200563,,,,,,,
An open source extensible software package to create whole-body compliant skills in personal mobile manipulators,R. Philippsen, L. Sentis, O. Khatib,2011,,10.1109/iros.2011.6095163,,,,,,,,,,,,,
LURE: Learning from Demonstration for Underwater Robust Execution,N. Allen, R. Azadeh,2025,,10.23919/oceans59106.2025.11245113,,,,,,,,,,,,,,
RoboCup@Home: Demonstrating Everyday Manipulation Skills in RoboCup@Home,J. Stuckler, D. Holz, S. Behnke,2012,,10.1109/mra.2012.2191993,,,,,,,,,,,,,
SAIL: Simulation-Informed Active In-the-Wild Learning,E. S. Short, A. Allevato, A. L. Thomaz,2019,,10.1109/hri.2019.8673019,,,,,,,,,,,,,
Learning to Grasp on the Moon from 3D Octree Observations with Deep Reinforcement Learning,A. Orsula, S. Bøgh, M. Olivares-Mendez, C. Martinez,2022,,10.1109/iros47612.2022.9981661,,,,,,,,,,,,
Revolutionizing Battery Disassembly: The Design and Implementation of a Battery Disassembly Autonomous Mobile Manipulator Robot(BEAM-1),"Peng, Y.; Wang, Z.; Zhang, Y.; Zhang, S.; Cai, N.; Wu, F.; Chen, M.",2024,,10.1109/iros58592.2024.10802225,,,,,,,,,,,,,,,
ElevNav: Large Language Model-Guided Robot Navigation via 3D Scene Graphs in Elevator Environments,"Zhang, H.",2025,,10.3103/s1060992x25700109,,,,,,,,,,,,,,,
Motion intention recognition in robot assisted applications,"Aarno, D.; Kragic, D.",2008,,10.1016/j.robot.2007.11.005,,,,,,,,,,,,,,,
Multiple humanoid cooperative control system for heterogeneous humanoid team,Heonyoung Lim, Yeonsik Kang, Joongjae Lee, Jongwon Kim, Bum-Jae You,2008,,10.1109/roman.2008.4600671,,,,,,,,,,,
Self-Supervised Learning of Grasping Arbitrary Objects On-the-Move,T. Kiyokawa, E. Nagata, Y. Tsurumine, Y. Kwon, T. Matsubara,2025,,10.1109/sii59315.2025.10871085,,,,,,,,,,,
Going Cognitive: A Demonstration of the Utility of Task-General Cognitive Architectures for Adaptive Robotic Task Performance,T. Frasca, Z. Han, J. Allspaw, H. Yanco, M. Scheutz,2020,,10.1109/iros45743.2020.9340863,,,,,,,,,,,
Towards language-based verification of robot behaviors,A. Cowley, C. J. Taylor,2011,,10.1109/iros.2011.6095028,,,,,,,,,,,,,,
An architecture and motion description language for mobile manipulation of service robots,"Lee, S.; Chun, C.; Kim, J.; Park, F.C.",2008,,,,,,,,,,,,,,,,,
Designing strategy and implementation of mobile manipulator control system for opening door,"Nagatani, Keiji; Yuta, Shin'ichi",1996,,,,,,,,,,,,,,,,,
Mobile ALOHA: Learning Bimanual Mobile Manipulation using Low-Cost Whole-Body Teleoperation,"Fu, ZP; Zhao, TZ; Finn, C",2024,,,,,,,,,,,,,,,,,
Design and development of a software architecture for autonomous mobile manipulators in industrial environments,"Rovida, F; Krüger, V",2015,,,,,,,,,,,,,,,,,
Coordinating Mobile Manipulator's Motion to produce Stable Trajectories on Uneven Terrain based on Feasible Acceleration Count,"Singh, AK; Krishna, KM",2013,,,,,,,,,,,,,,,,,
Door-opening behavior of an autonomous mobile manipulator by sequence of action primitives,"Nagatani, K; Yuta, S",1996,,,,,,,,,,,,,,,,,
Motion Primitive Based Random Planning for Loco-Manipulation Tasks,"Settimi, A; Caporale, D; Kryczka, P; Ferrati, M; Pallottino, L",2016,,,,,,,,,,,,,,,,,
MOBILE ROBOTIC ASSEMBLY ON A MOVING VEHICLE,"Shi, J; Hamner, B; Simmons, R; Singh, S",2013,,,,,,,,,,,,,,,,,
Planning for Manipulation with Adaptive Motion Primitives,"Cohen, BJ; Subramanian, G; Chitta, S; Likhachev, M",2011,,,,,,,,,,,,,,,,,
Reinforcement Learning of Dual-Arm Cooperation for a Mobile Manipulator with Sequences of Dynamical Movement Primitives,"Deng, MD; Hu, YB; Li, ZJ",2017,,,,,,,,,,,,,,,,,
Sequential Quadratic Programming for Task Plan Optimization,"Hadfield-Menell, D; Lin, C; Chitnis, R; Russell, S; Abbeel, P",2016,,,,,,,,,,,,,,,,,
Learning and Generalization of Complex Tasks from Unstructured Demonstrations,"Niekum, S; Osentoski, S; Konidaris, G; Barto, AG",2012,,,,,,,,,,,,,,,,,
A Behavior-based Approach for Task Learning on Mobile Manipulators,S. Huang, E. Aertbelien, H. V. Brussel, H. Bruyninckx,2010,,,,,,,,,,,,,,
Mobile Manipulation Planning Optimized for GPGPU Voxel-Collision Detection in High Resolution Live 3D-Maps,A. Hermann, J. Bauer, S. Klemm, R. Dillmann,2014,,,,,,,,,,,,,,
Hybrid control architecture for mobile manipulation,"Petersson, L.; Egerstedt, M.; Christensen, H.I.",1999,,,,,,,,,,,,,,,,,
Multi-agent Architecture Model for Driving Mobile Manipulator Robots,"Hentout, A; Bouzouia, B; Toukal, Z",2008,,,,,,,,,,,,,,,,,
Embedded CMOS imaging system for real-time robotic vision,"Andrian, H; Song, KT",2005,,,,,,,,,,,,,,,,,
Behaviour-based cooperation between two mobile manipulators,"Sequeira, J; Ribeiro, MI",2000,,,,,,,,,,,,,,,,,
Control of nonholonomic mobile manipulators for cooperative object transportation,"Sayyaadi, H; Babaee, M",2014,,,,,,,,,,,,,,,,,
Behavior-based mobile manipulation inspired by the human example,"Waarsing, BJW; Nuttin, M; Van Brussel, H",2003,,,,,,,,,,,,,,,,,
Introducing robots into a human-centred environment - the behaviour-based approach,"Waarsing, R; Nuttin, M; Van Brussel, H",2001,,,,,,,,,,,,,,,,,
An Autonomic Behavior-Based Software Architecture for Mobile Manipulator,"Huang, S; Aertbeliën, E; Van Brussel, H",2008,,,,,,,,,,,,,,,,,
Analysis of a behavior based nonholonomic wheeled mobile robot control with hybrid system approach,"Chang, CF; Fu, LC",2006,,,,,,,,,,,,,,,,,
Behavior-based mobile manipulation for drum sampling,"MacKenzie, DC; Arkin, RC",1996,,,,,,,,,,,,,,,,,
Hand It Over or Set It Down: A User Study of Object Delivery with an Assistive Mobile Manipulator,"Choi, YS; Chen, T; Jain, A; Anderson, C; Glass, JD; Kemp, CC",2009,,,,,,,,,,,,,,,,,
Behavior-Based Visual Servoing on a Hybrid CPU-/FPGA-Platform,C. Heupel, A. Koepper, K. Berns,2022,,,,,,,,,,,,,,,
"A Reasoning Architecture for Human-Robot Joint Tasks using Physics-, Social-, and Capability-Based Logic","Williams, K; Breazeal, C",2012,,,,,,,,,,,,,,,,,
Towards Large-Space Manipulation Skills Learning with Mobile Manipulator,Yuqiang WuZhiwei LiaoChenwei GongFei Zhao,,,,,,,,,,,,,,,,,,
"BEHAVIOR-1K: A Benchmark for Embodied AI with 1, 000 Everyday Activities and Realistic Simulation","Li, C.; Zhang, R.; Wong, J.; Gokmen, C.; Srivastava, S.; Martín-Martín, R.; Wang, C.; Levine, G.; Lingelbach, M.; Sun, J.; Anvari, M.; Hwang, M.; Sharma, M.; Aydin, A.; Bansal, D.; Hunter, S.; Kim, K.-Y.; Lou, A.; Matthews, C.R.; Villa-Renteria, I.; Tang, J.H.; Tang, C.; Xia, F.; Savarese, S.; Gweon, H.; Liu, C.K.; Wu, J.; Fei-Fei, L.",2023,,,,,,,,,,,,,,,,,
π0.5: a Vision-Language-Action Model with Open-World Generalization,"Black, K.; Brown, N.; Darpinian, J.; Dhabalia, K.; Driess, D.; Esmail, A.; Equi, M.; Finn, C.; Fusai, N.; Galliker, M.Y.; Ghosh, D.; Groom, L.; Hausman, K.; Ichter, B.; Jakubczak, S.; Jones, T.; Ke, L.; Leblanc, D.; Levine, S.; Li-Bell, A.; Mothukuri, M.; Nair, S.; Pertsch, K.; Ren, A.Z.; Xiaoyang Shi, L.; Smith, L.; Tobias Springenberg, J.; Stachowicz, K.; Tanner, J.; Vuong, Q.; Walke, H.; Walling, A.; Wang, H.; Yu, L.; Zhilinsky, U.",2025,,,,,,,,,,,,,,,,,
Synthesizing Navigation Abstractions for Planning with Portable Manipulation Skills,"Rosen, E.; James, S.; Orozco, S.; Gupta, V.; Merlin, M.; Tellex, S.; Konidaris, G.",2023,,,,,,,,,,,,,,,,,
Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation,"Wang, FY; Lyu, SP; Zhou, P; Duan, AQ; Guo, GD; Navarro-Alarcon, D",2025,,,,,,,,,,,,,,,,,
Interactive Segmentation for Manipulation in Unstructured Environments,"Kenney, J; Buckley, T; Brock, O",2009,,,,,,,,,,,,,,,,,
A Skill-Based System for Object Perception and Manipulation for Automating Kitting Tasks,"Holz, D; Topalidou-Kyniazopoulou, A; Rovida, F; Pedersen, MR; Krüger, V; Behnke, S",2015,,,,,,,,,,,,,,,,,
Intuitive skill-level programming of industrial handling tasks on a mobile manipulator,"Pedersen, MR; Herzog, DL; Krüger, V",2014,,,,,,,,,,,,,,,,,
Intuitive Task Programming of Stud Welding Robots for Ship Construction,"Andersen, RS; Bogh, S; Moeslund, TB; Madsen, O",2015,,,,,,,,,,,,,,,,,
Increasing Flexibility of Mobile Manipulation and Intuitive Human-Robot Interaction in RoboCup@Home,"Stückler, J; Droeschel, D; Gräve, K; Holz, D; Schreiber, M; Topalidou-Kyniazopoulou, A; Schwarz, M; Behnke, S",2014,,,,,,,,,,,,,,,,,
Motion Planning for an Underwater Mobile Manipulator by Exploiting Loose Coupling,"Youakim, D; Dornbush, A; Likhachev, M; Ridao, P",2018,,,,,,,,,,,,,,,,,
Efficient Deformable Registration of Multi-Resolution Surfel Maps for Object Manipulation Skill Transfer,"Stückler, J; Behnke, S",2014,,,,,,,,,,,,,,,,,
A CYBER-PHYSICAL SYSTEMS APPROACH FOR CONTROLLING AUTONOMOUS MOBILE MANIPULATORS,"Rovida, F; Krueger, V; Nalpantidis, L; Charzoule, A; Lasnier, A; Petrick, R; Crosby, M; Toscano, C; Veiga, G",2017,,,,,,,,,,,,,,,,,
Task-Level Programming by Demonstration for Mobile Robotic Manipulators through Human Demonstrations based on Semantic Skill Recognition,L. Mayershofer, P. Lehner, D. Leidner, A. Albu-Schaeffer,2023,,,,,,,,,,,,,,
Teaching People How to Teach Robots: The Effect of Instructional Materials and Dialog Design,M. Cakmak, L. Takayama,2014,,,,,,,,,,,,,,,,
Natural language conditioned planning of complex robotics tasks,"Eduards Zinars, T.; Vismanis, O.; Racinskis, P.; Arents, J.; Greitans, M.",2023,,,,,,,,,,,,,,,,,
AgentWorld: An Interactive Simulation Platform for Scene Construction and Mobile Robotic Manipulation,"Zhang, YZ; Yu, ZJ; Lai, JX; Lu, CW; Han, L",2025,,,,,,,,,,,,,,,,,
"Motion design for autonomous mobile manipulator based on programming style ""action primitive""","Nagatani, K; Tanaka, Y",2000,,,,,,,,,,,,,,,,,
